city,date,no2
Lahore,2024-01-01,
Karachi,2024-01-01,1.2470426387343567E-4
Islamabad,2024-01-01,1.531858854064813E-4
Faisalabad,2024-01-01,
Rawalpindi,2024-01-01,1.5318621276702728E-4
Multan,2024-01-01,
Peshawar,2024-01-01,6.0499085166208536E-5
Gujranwala,2024-01-01,
Quetta,2024-01-01,2.318560964474431E-5
Sialkot,2024-01-01,
Hyderabad,2024-01-01,3.6038928396082555E-5
Bahawalpur,2024-01-01,2.8458507836574724E-5
Sargodha,2024-01-01,
Sukkur,2024-01-01,4.322616865599998E-5
Larkana,2024-01-01,3.135562917801008E-5
Lahore,2024-01-02,
Karachi,2024-01-02,2.2034889891943643E-4
Islamabad,2024-01-02,1.371914281784646E-4
Faisalabad,2024-01-02,
Rawalpindi,2024-01-02,1.2322509265486303E-4
Multan,2024-01-02,1.7347004041087067E-4
Peshawar,2024-01-02,7.01681831230797E-5
Gujranwala,2024-01-02,
Quetta,2024-01-02,1.7172722004120408E-5
Sialkot,2024-01-02,
Hyderabad,2024-01-02,3.4349833390453455E-5
Bahawalpur,2024-01-02,
Sargodha,2024-01-02,
Sukkur,2024-01-02,
Larkana,2024-01-02,
Lahore,2024-01-03,
Karachi,2024-01-03,1.7962777522424587E-4
Islamabad,2024-01-03,1.4699932249234363E-4
Faisalabad,2024-01-03,
Rawalpindi,2024-01-03,1.523327059540957E-4
Multan,2024-01-03,
Peshawar,2024-01-03,6.884493531998182E-5
Gujranwala,2024-01-03,
Quetta,2024-01-03,2.473931843585792E-5
Sialkot,2024-01-03,2.783427169588456E-5
Hyderabad,2024-01-03,3.491336949949838E-5
Bahawalpur,2024-01-03,
Sargodha,2024-01-03,
Sukkur,2024-01-03,
Larkana,2024-01-03,
Lahore,2024-01-04,
Karachi,2024-01-04,1.5173115483281503E-4
Islamabad,2024-01-04,1.8263314486781314E-4
Faisalabad,2024-01-04,
Rawalpindi,2024-01-04,1.7754442433085685E-4
Multan,2024-01-04,
Peshawar,2024-01-04,1.1293689243932821E-4
Gujranwala,2024-01-04,
Quetta,2024-01-04,1.4626271307741257E-5
Sialkot,2024-01-04,
Hyderabad,2024-01-04,4.753349801541729E-5
Bahawalpur,2024-01-04,1.8918126865174898E-5
Sargodha,2024-01-04,
Sukkur,2024-01-04,
Larkana,2024-01-04,
Lahore,2024-01-05,
Karachi,2024-01-05,1.3467409482569744E-4
Islamabad,2024-01-05,1.1156025558304839E-4
Faisalabad,2024-01-05,
Rawalpindi,2024-01-05,1.7102090256278352E-4
Multan,2024-01-05,
Peshawar,2024-01-05,5.3020181312205556E-5
Gujranwala,2024-01-05,
Quetta,2024-01-05,2.3975252568317716E-6
Sialkot,2024-01-05,
Hyderabad,2024-01-05,2.8432326579225876E-5
Bahawalpur,2024-01-05,
Sargodha,2024-01-05,
Sukkur,2024-01-05,2.9881430026640155E-5
Larkana,2024-01-05,1.9226005592160668E-5
Lahore,2024-01-06,
Karachi,2024-01-06,8.369183770560301E-5
Islamabad,2024-01-06,1.3987720917974503E-4
Faisalabad,2024-01-06,
Rawalpindi,2024-01-06,1.4687924207273657E-4
Multan,2024-01-06,
Peshawar,2024-01-06,5.5714883278222985E-5
Gujranwala,2024-01-06,
Quetta,2024-01-06,1.5982117828498363E-5
Sialkot,2024-01-06,
Hyderabad,2024-01-06,2.7893734770750905E-5
Bahawalpur,2024-01-06,
Sargodha,2024-01-06,
Sukkur,2024-01-06,3.465089313919373E-5
Larkana,2024-01-06,1.6662877966580517E-5
Lahore,2024-01-07,2.517310955861638E-4
Karachi,2024-01-07,7.287946975786858E-5
Islamabad,2024-01-07,2.9368849496266445E-4
Faisalabad,2024-01-07,
Rawalpindi,2024-01-07,3.1268346411946835E-4
Multan,2024-01-07,8.069516876620805E-5
Peshawar,2024-01-07,9.029062448557114E-5
Gujranwala,2024-01-07,
Quetta,2024-01-07,1.4362354465023217E-5
Sialkot,2024-01-07,
Hyderabad,2024-01-07,2.9570669888336876E-5
Bahawalpur,2024-01-07,3.162787115118586E-5
Sargodha,2024-01-07,
Sukkur,2024-01-07,3.705078816660862E-5
Larkana,2024-01-07,1.882814296562506E-5
Lahore,2024-01-08,2.2974505321384425E-4
Karachi,2024-01-08,1.1301508551073895E-4
Islamabad,2024-01-08,1.5935156841213495E-4
Faisalabad,2024-01-08,
Rawalpindi,2024-01-08,1.499592057629643E-4
Multan,2024-01-08,
Peshawar,2024-01-08,5.204289170460528E-5
Gujranwala,2024-01-08,
Quetta,2024-01-08,1.552824697874647E-5
Sialkot,2024-01-08,
Hyderabad,2024-01-08,2.4131321710201393E-5
Bahawalpur,2024-01-08,
Sargodha,2024-01-08,
Sukkur,2024-01-08,3.991061073276953E-5
Larkana,2024-01-08,2.8268204460835728E-5
Lahore,2024-01-09,
Karachi,2024-01-09,6.500380094898807E-5
Islamabad,2024-01-09,1.282663936004921E-4
Faisalabad,2024-01-09,
Rawalpindi,2024-01-09,1.5010158198929612E-4
Multan,2024-01-09,1.186542184758154E-4
Peshawar,2024-01-09,6.004344729929896E-5
Gujranwala,2024-01-09,
Quetta,2024-01-09,1.3857335580764809E-5
Sialkot,2024-01-09,
Hyderabad,2024-01-09,2.663793540065296E-5
Bahawalpur,2024-01-09,3.567486103704931E-5
Sargodha,2024-01-09,
Sukkur,2024-01-09,3.0255334267474114E-5
Larkana,2024-01-09,
Lahore,2024-01-10,
Karachi,2024-01-10,9.222537852760784E-5
Islamabad,2024-01-10,1.2921773858366208E-4
Faisalabad,2024-01-10,
Rawalpindi,2024-01-10,1.4012867899565804E-4
Multan,2024-01-10,
Peshawar,2024-01-10,6.0780799515798765E-5
Gujranwala,2024-01-10,
Quetta,2024-01-10,1.583650112992049E-5
Sialkot,2024-01-10,
Hyderabad,2024-01-10,2.9140634081500307E-5
Bahawalpur,2024-01-10,1.4293052979051908E-5
Sargodha,2024-01-10,
Sukkur,2024-01-10,2.9088795932609165E-5
Larkana,2024-01-10,2.281376743377579E-5
Lahore,2024-01-11,2.2272470244707101E-4
Karachi,2024-01-11,2.1954855114053335E-4
Islamabad,2024-01-11,1.5401488976351466E-4
Faisalabad,2024-01-11,1.1063531208232105E-4
Rawalpindi,2024-01-11,1.788984489099533E-4
Multan,2024-01-11,4.690872606635538E-5
Peshawar,2024-01-11,7.927853822166413E-5
Gujranwala,2024-01-11,3.1886938699705165E-5
Quetta,2024-01-11,2.4750901266871025E-5
Sialkot,2024-01-11,
Hyderabad,2024-01-11,3.927125198398795E-5
Bahawalpur,2024-01-11,2.1869509829820176E-5
Sargodha,2024-01-11,9.292273024601022E-6
Sukkur,2024-01-11,2.4597205672221094E-5
Larkana,2024-01-11,1.6560853731592437E-5
Lahore,2024-01-12,4.411779684312366E-4
Karachi,2024-01-12,1.9331979999202684E-4
Islamabad,2024-01-12,1.463619830831205E-4
Faisalabad,2024-01-12,
Rawalpindi,2024-01-12,9.03101322842303E-5
Multan,2024-01-12,5.5968253390279045E-5
Peshawar,2024-01-12,1.501115274346961E-5
Gujranwala,2024-01-12,
Quetta,2024-01-12,
Sialkot,2024-01-12,
Hyderabad,2024-01-12,3.123536654511471E-5
Bahawalpur,2024-01-12,3.141022756944086E-5
Sargodha,2024-01-12,
Sukkur,2024-01-12,3.905297798852267E-5
